Charity_Legal_Name;Adress
United Nations Youth Australia Ltd.;Level 2235 Queen St   Melbourne Victoria
The Victorian Farmers Federation Disaster Relief Fund;L 3 24-28 Collins St   Melbourne Victoria
Asian Australian Foundation;C- Accounting Solutions (Melbourne) Level 20, 350 Queen Street  Melbourne VIC
Collins Street Baptist Church;L 6 174 Collins St   Melbourne Victoria
I AM Temple Saint Germain Foundation Incorporated;L 3 Se 3 358 Lonsdale St   Melbourne Victoria
Leadership Victoria Ltd;Level 11 456 Lonsdale Street  Melbourne VIC
Disability Discrimination Legal Service Inc;247-251 Flinders Lane   Melbourne Victoria
World Expeditions Foundation Ltd;L 1 393 Little Bourke St   Melbourne Victoria
Woor-Dungin Inc.;247-251 Flinders Lane   Melbourne Victoria
Good Shepherd Microfinance;L 11 350 Queen St   Melbourne Victoria
APOLLO BAY RSL SUB-BRANCH  PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
RYE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Australian China Education Foundation Incorporated;Se 206 566 St Kilda Rd   Melbourne Victoria
Friends Of Grammar Inc - Executive;The Lodge, Melbourne Grammar School 355 St Kilda Road  Melbourne VIC
Royal Historical Society Of Victoria Inc;239 A'beckett St   Melbourne Victoria
The Anxiety And OCD Foundation Ltd;L 2 Se 2 766 Elizabeth St   Melbourne Victoria
Planted Places Ltd;L 7 174 Collins St   Melbourne Victoria
St Michaels Mt Dandenong - Johnson;209 Flinders Lane   Melbourne VIC
Q C F Account H & L Lucas Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
The Walker Family Foundation;L 20 181 William St   Melbourne Victoria
Queensland Community Foundationa C Kelly T H And W J M Mfund;Lvl 2, 575 Bourke St   Melbourne Victoria
Friends Of Grammar Inc- Senior School;The Lodge, Melbourne Grammar School 355 St Kilda Road  Melbourne VIC
GEMBOOK RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Consumer Action Law Centre;L 6 179 Queen St   Melbourne Victoria
Indigenous Barristers' Trust;Level 5 205 William St  Melbourne VIC
St Michaels Mt Dand Johnson 2;209 Flinders Lane   Melbourne VIC
The Trustee For A M G Dawson Bequest;209 Flinders Lane   Melbourne VIC
Dunkeld RSL Sub-Branch Welfare Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
SWAN HILL RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Lynly and Yvonne Aitken Trust;L 11 Se 1 379 Collins St   Melbourne Victoria
JOBSBANK LIMITED;L 36 121 Exhibition St   Melbourne Victoria
SCIENCE FOR ALL LTD;8 LaTrobe St   Melbourne VIC
EdABLE FOODS Incorporated;29 Howard Street Glen Iris  Melbourne VIC
The Trustee For Brenda Best Charitable Trust;Po Box 6780   Melbourne Victoria
The Trustee For The Taylor Foundation;L 7 580 St Kilda Rd   Melbourne Victoria
Rupanyup RSL Sub-Branch Welfare Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
COBURG RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Melbourne Anglican Cultural Organisation Inc.;209 Flinders Lane   Melbourne Victoria
Shepherd Foundation Nominees Pty. Limited;L 2 105 Queen St   Melbourne Victoria
AMREP AS Pty Ltd;75 Commercial Rd   Melbourne Victoria
Blueprint for Free Speech Inc.;247-251 Flinders Lane   Melbourne Victoria
SPRINGVALE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
OAKLEIGH CARNEGIE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Trustee for Eldon and Anne Foote Trust;Level 15 1 Collins Street   Melbourne VIC
The Trustee For Harold Klinger Bequest;209 Flinders Lane   Melbourne VIC
The Trustee For Isabel Edith Jones Bequest;209 Flinders Lane   Melbourne VIC
Tongala RSL Sub-Branch Welfare Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Ballan RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The Ambrose Galvin Charitable Trust;Level 4 71 Collins Street  Melbourne VIC
Green Planet Foundation Limited;L 15 333 Collins St   Melbourne Victoria
RMIT Online Pty Ltd;124 La Trobe St   Melbourne Victoria
Steer Albert R. Bequest;209 Flinders Lane   Melbourne VIC
Payne Catherine Memorial Fund;209 Flinders Lane   Melbourne VIC
The Keith Clarke Foundation;L 12 114 William St   Melbourne Victoria
The Melbourne Grammar School Foundation;c- Melbourne Grammar School 355 St Kilda Road  Melbourne VIC
Melbourne Anglican Foundation Limited;209 Flinders Lane   Melbourne Victoria
Uca Growth Fund Limited;130 Lonsdale St   Melbourne Victoria
City On A Hill Creative;G 262 Queen St   Melbourne Victoria
PASCOE VALE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Rsl Victorian Branch Welfare Trust Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
GLENROY RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
RETURNED NURSES RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Capital Punishment Justice Project Limited;205 William St   Melbourne Victoria
C.E.S.F Pty Limited;L 2 Se 7 18-20 Collins St   Melbourne Victoria
The Trustee For A C Sage Gift;209 Flinders Lane   Melbourne VIC
The Trustee For Eliza Crawford Curate Fund Christ Church St Kilda;209 Flinders Lane   Melbourne VIC
COMMITTEE FOR MELBOURNE LTD.;ANZAC House Level 4, 4 Collins Street  Melbourne VIC
IPAG ASIA PACIFIC LTD;U 805 220 Collins St   Melbourne Victoria
The Trustee For J M Smith Trust;209 Flinders Lane   Melbourne VIC
Youth Affairs Council Of Victoria Inc;L 2 235 Queen St   Melbourne Victoria
Victorian Croatian Aged Care Services Incorporated As the Operator of a PBI;Level 1 296 Collins Street  Melbourne VIC
AUSTRALASIAN COLLEGE OF SPORT AND EXERCISE PHYSICIANS;L 3 257 Collins St   Melbourne Victoria
Singleton Equity Housing Ltd.;Level 3, 350 Queen Street   Melbourne VIC
Victorian Community Foundation;Lvl 2, 575 Bourke St   Melbourne Victoria
Lattitude Global Volunteering;152 Elizabeth St   Melbourne Victoria
The Trustee For A. C. Goode Charitable Foundation;Se 1432 1 Queens Rd   Melbourne Victoria
Public Galleries Association Of Victoria;CO: NGV Australia PO Box 7259  Melbourne VIC
The Trustee For St Marks Wallan Endowment Fund;209 Flinders Lane   Melbourne VIC
Mollison Library Trust;209 Flinders Lane   Melbourne VIC
ROYAL BOTANIC GARDENS FOUNDATION VICTORIA;100 Birdwood Ave   Melbourne Victoria
Q C F Account S T F & D E Ozanne Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
The Trustee For Hughes Cheong Lectureship Trust;209 Flinders Lane   Melbourne VIC
Bicycle Network Incorporated;246 Bourke St   Melbourne 
Human Rights Arts & Film Festival Inc;247-251 Flinders Lane   Melbourne Victoria
Melbourne International Festival Of The Arts Limited;Level 2, 377 Lonsdale Street   Melbourne VIC
Uca Cash Management Fund Limited;130 Lonsdale St   Melbourne Victoria
The Recruitment Consulting & Staffing Association Limited;L 9 Se 2 500 Collins St   Melbourne Victoria
Australian Jazz Awards Limited;Se 836 1 Queens Rd   Melbourne Victoria
NUMURKAH RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Flight Safety Foundation Limited;L 16 356 Collins St   Melbourne Victoria
Robert Rose Foundation Ltd;525 Collins St   Melbourne Victoria
CORRYONG RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Rotary Club Of Melbourne Community Foundation;L 9 Se 3 15 Collins St   Melbourne Victoria
The Trustee For The Edward Arthur Austin Bequest;209 Flinders Lane   Melbourne VIC
THE FREE SPIRIT PAF;L 4 411 Collins St   Melbourne Victoria
Veritas Health Innovation Ltd;L 10 446 Collins St   Melbourne Victoria
MEDICAL PANTRY LIMITED;713535 Little Collins Street   Melbourne VIC
Estate of Annie Elizabeth Lamont;L 10 114 William St   Melbourne Victoria
Uca - St Michael's Uniting Church;120 Collins St   Melbourne Victoria
Warrandyte RSL Sub-Branch Welfare Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
SHEPPARTON RSL SUB-BRANCH  PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
R.H.S. Nominees Pty. Ltd.;Suite 4011A 282-284 Collins Street  Melbourne VIC
The Trustee For Colonial Foundation Trust;Level 4 111 Collins Street  Melbourne Victoria
The Trustee For The Victorian Community Foundation;Lvl 2, 575 Bourke St   Melbourne Victoria
Social Traders Ltd;L 1 333 Exhibition St   Melbourne Victoria
BENTLEIGH RSL SUB-BRANCH  PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Waubra Foundation;Level 16 379 Collins Street  Melbourne VIC
St Katherine's Maintenance Trust;209 Flinders Lane   Melbourne VIC
INVERLEIGH RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Victoria Legal Aid;L 9 570 Bourke St   Melbourne Victoria
PAYNESVILLE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Australian Intercultural Society Ltd;G U 2 441 St Kilda Rd   Melbourne Victoria
The Paul and Samantha Cross Foundation;L 10 530 Collins St   Melbourne Victoria
RUTHERGLEN RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
OUTBACK ACADEMY AUSTRALIA LIMITED;L 9 313 La Trobe St   Melbourne Victoria
DAREBIN RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Torquay RSL Sub-Branch Welfare Patriotic Fund;ANZAC HOUSE 4 Collins St  Melbourne VIC
The Trustee For Clergy Training Ordination Trust;209 Flinders Lane   Melbourne VIC
Jenkinson - Incumbency Fund;209 Flinders Lane   Melbourne VIC
Murchison RSL Sub-Branch Welfare Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Melbourne International Comedy Festival Limited;240 Exhibition St   Melbourne Victoria
The Trustee For The I H Holman Memorial Fund;209 Flinders Lane   Melbourne VIC
The Australian Council Of Christians And Jews;Room 312, 619 St Kilda Road  Melbourne VIC
Worldskills Australia;L 7 379 Collins St   Melbourne Victoria
FAWKNER RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
City On A Hill;G 262 Queen St   Melbourne Victoria
Bolger-Buys Foundation;L 32 360 Collins St   Melbourne Victoria
Flying Robot School Inc;31 Queen St   Melbourne Victoria
Mindfull Aus Ltd;Se 146 1 Queens Rd   Melbourne Victoria
The Trustee For Graeme Clark Foundation;L 22 140 William St   Melbourne Victoria
BEAUMARIS RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Footscray RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Daylesford RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Stanhope RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Gastroenterological Society Of Australia;L 1 Se 101 517 Flinders Lane   Melbourne Victoria
Briagolong RSL Sub-Branch Building Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Australian Human Resources Institute Limited;L 4 575 Bourke St   Melbourne Victoria
The Trustee For The Alice Creswick And Sheila Kimpton Foundation;L 10 530 Collins St   Melbourne Victoria
Auto Skills Australia Ltd;Level 2, 251 Queensberry Street  Melbourne VIC
The Trustee For The Albers Foundation;C- Gadens Lawyers Level 25  600 Bourke St  Melbourne VIC
BOX HILL RSL SUB-BRANCH  PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The Victorian Community Foundation;Lvl 2, 575 Bourke St   Melbourne Victoria
The Trustee For John And Claire Birch Trust Fund;209 Flinders Lane   Melbourne VIC
RMIT University Indonesia Pty Ltd;124 La Trobe St   Melbourne Victoria
The Trustee For The Russell And Edna Hale Endowment Fund;209 Flinders Lane   Melbourne VIC
Community Hubs Australia Limited;L 31 367 Collins St   Melbourne Victoria
Riverlee Foundation;L 9 379 Collins St   Melbourne Victoria
Live And Learn Environmental Education Society Incorporated;247-251 Flinders Lane   Melbourne Victoria
Engineering Education Australia Pty. Limited;L 31 600 Bourke St   Melbourne Victoria
The Trustee For Anz Qld Community Foundation-The Charles And Lorna Lewin Memorial Fund;Lvl 2, 575 Bourke St   Melbourne Victoria
The Trustee For The Dugdale Trust For Women And Girls;L 9 313 La Trobe St   Melbourne Victoria
Maffra RSL Sub-Branch Building Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Australian National Flag Association Incorporated;4-6 Collins St   Melbourne Victoria
Collective Of Self Help Groups;Ross House L3 R6 247-251 Flinders Lane  Melbourne VIC
Children International Australia Fund;C- Thomson Geer Level 39, 525 Collins Street  Melbourne VIC
Victorian Community Foundation Aic Claire Susan Gardiner Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
THE TRUSTEE FOR THE HUPERT FAMILY FOUNDATION;L 18 530 Collins St   Melbourne Victoria
YARRAVILLE RSL SUB-BRANCH PATRIOTIC FUND;4 Collins St   Melbourne VIC
MRK (ASSEMBLE X HCA) LTD;L 3 350 Queen St   Melbourne Victoria
Victorian Community Foundation AC The Gerda Nicolson Award;Lvl 2, 575 Bourke St   Melbourne Victoria
The Trustee For The Catalyst Innovations Foundation Trust;G 673 Bourke St   Melbourne Victoria
RSL OF AUST VIC BRANCH BENDIGO SUB BRANCH WELFARE PATRIOTIC FUND NO W75;ANZAC House 4 Collins Street   MELBOURNE VIC
KEW RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
BERWICK RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Newstead 2021 Inc;Po Box 7567   Melbourne Victoria
Thera Farms Australia Inc;L 10 50 Queen St   Melbourne Victoria
The Trustee For The Fox Family Foundation;L 3 493 St Kilda Rd   Melbourne Victoria
The Myer Foundation;Level 7, 171 Collins Street  Melbourne Victoria
Uniting Ethical Investors Limited;130 Lonsdale St   Melbourne Victoria
The Latham And Rose Trust;209 Flinders Lane   Melbourne VIC
The Trustee For Melbourne Prize Trust;Level 4 ANZAC House 4 Collins Street   Melbourne VIC
The Gemsonic Foundation;C- Think Advisors Level 5 171 Collins Street  Melbourne VIC
The Sunnyside Foundation;L 5 121 Flinders Lane   Melbourne Victoria
Collins Street Baptist Church Fund Inc;174 Collins St   Melbourne Victoria
DISABILITY INTERMEDIARIES AUSTRALIA LTD;L 4 420 St Kilda Rd   Melbourne Victoria
ANGLICAN INSURANCE AND RISK SERVICES LTD;Suite 5, Level 5 55 Swanston Street  Melbourne VIC
Melbourne St Paul - Maintenance;209 Flinders Lane   Melbourne VIC
The Trustee For The Sun Foundation;477 Collins St   Melbourne Victoria
The Trustee For Defence Health Foundation;Level 7 380 StKilda Road   Melbourne VIC
City On A Hill Foundation;G 262 Queen St   Melbourne Victoria
The Trustee For Donkey Wheel Charitable Trust;G 673 Bourke St   Melbourne Victoria
Friends Of Grammar Inc-Wadhurst;The Lodge, Melbourne Grammar School 355 St Kilda Road  Melbourne VIC
The Trustee For Allen Mr P A Trust Fund;209 Flinders Lane   Melbourne VIC
The Lionel Gell Foundation;L 10 155 Queen St   Melbourne Victoria
Victorian Association For The Care And Resettlement Of Offenders;Po Box 14093   Melbourne Victoria
Victorian Gum Genealogists Using Microcomputers Inc;83 William St   Melbourne Victoria
Friends Of Grammar Inc - Grimwade;The Lodge, Melbourne Grammar School 355 St Kilda Road  Melbourne VIC
Cornwall Stodart Foundation;L 10 114 William St   Melbourne Victoria
The Royal Humane Society Of Australasia;Suite 4011A 282-284 Collins Street  Melbourne VIC
Mercer Family Foundation;L 4 157 Spring St   Melbourne Victoria
Melbourne Queer Film Festival Incorporated;Level 8, 225 Bourke St   Melbourne VIC
The Trustee For R W Martin Bequest;209 Flinders Lane   Melbourne VIC
STATES OF CHANGE LEARNING LTD;U 802 37 Swanston St   Melbourne Victoria
VIVA A VIDA FOUNDATION LTD;U 219 370 St Kilda Rd   Melbourne Victoria
M & S Goldhirsch Charity Fund;L 2 Se 201 480 St Kilda Rd   Melbourne Victoria
Bendigo Havilah Road RSL Sub-Branch Wefare Patriotic Fund W484;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For Essendon Grammar School Trust;209 Flinders Lane   Melbourne VIC
Queensland Community Foundation AC Anz Bank Fund;Lvl 2, 575 Bourke St   Melbourne Victoria
Victorian Community FoundationaC Dean William Winter Trust;Lvl 2, 575 Bourke St   Melbourne Victoria
The Trustee For Baker Institute Grant Trust;L 1 575 Bourke St   Melbourne Victoria
WAVERLEY RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Lord Mayor's Charitable Foundation;Level 15 1 Collins Street   Melbourne VIC
Archbishop's Spiritual Growth & Direction Fund;209 Flinders Lane   Melbourne VIC
The Trustee For The Anglican Diocese Of Melbourne School Building Fund;209 Flinders Lane   Melbourne VIC
Ardoch Limited;L 4 85 Queen St   Melbourne Victoria
Mappin Fund For Ordination Candidates;209 Flinders Lane   Melbourne VIC
Creating Australia Ltd;Level 1, 168 La Trobe Street RMIT Building 24  Melbourne VIC
Penhurst RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Mortlake RSL Sub-Branch Welfare Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Melbourne Chamber Orchestra Inc;L 1 Se 31 431 St Kilda Rd   Melbourne Victoria
The Trustee For Delaney Trust Fund;209 Flinders Lane   Melbourne VIC
Beyond Zero Emissions Inc.;247-251 Flinders Lane   Melbourne Victoria
Aged & Community Services Australia;Suite 3, Level 6  24 Collins Street Melbourne Victoria
FREO2 Foundation Australia Limited;L 2 696 Bourke St   Melbourne Victoria
The Melbourne Athenaeum Incorporated;Level 1, 188 Collins Street   Melbourne VIC
The Merridew Foundation;L 10 530 Collins St   Melbourne Victoria
Windermere Foundation Ltd.;L 10 530 Collins St   Melbourne Victoria
The Macfarlane Burnet Institute For Medical Research And Public Health Ltd;85 Commercial Rd   Melbourne Victoria
Committee For Economic Development Of Australia;Level 3 271 Spring St  Melbourne VIC
Institute Of Public Administration Australia (Victorian Division) Inc.;L 3 37 Little Bourke St   Melbourne Victoria
Advanced Paediatric Life Support Australia;L 5 505 Little Collins St   Melbourne Victoria
Crisis Intervention and Management Australasia Incorporated;L 2 Se 8 156 Collins St   Melbourne Victoria
Confederation Of Postgraduate Medical Education Councils (Cpmec) Limited;Suite 801 Level 8 533 Little Lonsdale Street  Melbourne VIC
Women's Legal Service Victoria;L 10 277 William St   Melbourne Victoria
Toorak RSL Sub-Branch Welfare Patriotic Fund W404;ANZAC House 4 Collins Street   MELBOURNE VIC
The Trustee For The M.B Harmer Bequest;209 Flinders Lane   Melbourne VIC
The Trustee For The NSW Community Foundation;Lvl 2, 575 Bourke St   Melbourne Victoria
RoCan Ltd;L 6, 451 Little Bourke Street   Melbourne Victoria
JOINT AID MANAGEMENT AUSTRALIA LTD;Se 211 430 Little Collins St   Melbourne Victoria
The Trustee For L E W Carty Charitable Fund;27 Windsor Pl   Melbourne Victoria
Royal Melbourne Institute Of Technology;124 La Trobe St   Melbourne Victoria
The Trustee for Queensland Community Foundation The Lydia Edith Roberts Memorial Fund;C- ETWS PO BOX 2307  MELBOURNE VIC
HEYWOOD RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Holmes Commercial Colleges (Melbourne) Limited;185 Spring St   Melbourne Victoria
Grace of Galilee Inc.;506 Elizabeth St   Melbourne Victoria
Relationship Matters Counselling and Mediation;L 4 255 Bourke St   Melbourne Victoria
MELBOURNE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Winchelsea St Thomas Endowment;209 Flinders Lane   Melbourne VIC
The Trustee For Community Placement Network Assistance Trust;L 15 440 Collins St   Melbourne Victoria
Estate Gwa Griffiths;L 16 379 Collins St   Melbourne Victoria
Victorian Community Foundation AC The Foundation For Outdoor Education In Victoria;Lvl 2, 575 Bourke St   Melbourne Victoria
ENDUCD.ORG LTD;L 9 575 Bourke St   Melbourne Victoria
The Trustee For The Norah Hunt Smith Bequest;209 Flinders Lane   Melbourne VIC
CAULFIELD RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
WIZO VICTORA INC.;Se 502 1 Queens Rd   Melbourne Victoria
LONGBEACH RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Uca - King Island;130 Little Collins St   Melbourne Victoria
The Trustee For Septimus Miller Trust;209 Flinders Lane   Melbourne VIC
Aspire Training And Consulting Limited;L 1 464 St Kilda Rd   Melbourne Victoria
Brown Coal Innovation Australia Limited;Se 420 1 Queens Rd   Melbourne Victoria
WYCHEPROOF RSL SUB-BRANCH  PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Speld-Victoria Inc;L 3 673 Bourke St   Melbourne Victoria
Kent May Bequest;209 Flinders Lane   Melbourne VIC
Victorian Council Of Churches Inc;Level 6, West Tower, 608 St Kilda Rd Victoria  Melbourne VIC
Pimelea Conservation Trust Fund;Level 5, 379 Collins Street   Melbourne VIC
SEYMOUR RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
MYRTLEFORD RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
ONDRU LIMITED;L 8 225 Bourke St   Melbourne Victoria
Pretty Foundation Ltd;L 18 530 Collins St   Melbourne Victoria
Colel Chabad Australia Ltd.;L 2 Se 201 480 St Kilda Rd   Melbourne Victoria
Royal Freemasons Services Pty Ltd;L 7 580 St Kilda Rd   Melbourne Victoria
MELTON RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
HASTINGS RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Old Wesley Collegians Association;Wesley College   Melbourne Victoria
Many Rooms Ltd.;G 262 Queen St   Melbourne Victoria
The Mac.Robertson Girls' High School Education and Scholarship Trust;350-370 Kings Way   Melbourne VIC
The Trustee For Inner City Social Housing Trust;Level 3, 350 Queen Street   Melbourne VIC
Royal Freemasons Ltd;L 7 580 St Kilda Rd   Melbourne Victoria
Lloyd's Register International;L 16 461 Bourke St   Melbourne Victoria
St Arnaud Rsl Sub-Branch Welfare Patriotic Fund No W362;ANZAC House 4 Collins Street   MELBOURNE VIC
CASTERTON RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Giles Wade Foundation;L 9 Se 1 410 Collins St   Melbourne Victoria
Sunshine Foundation;L 32 360 Collins St   Melbourne Victoria
Joy Melbourne Inc.;L 9 255 Bourke St   Melbourne Victoria
Growling Grass Frogs Habitat Trust;Level 5, 379 Collins Street   Melbourne VIC
YAZDA AUSTRALIA LIMITED;L 3 101 Collins St   Melbourne Victoria
The Trustee For The Anglican Diocese Of Melbourne Necessitous Circumstances Fund;209 Flinders Lane   Melbourne VIC
Indo China Ethnic Chinese Association Of Victoria Inc;247-251 Flinders Lane   Melbourne Victoria
The Trustee For Sirius Foundation;U 1102 201 Collins St   Melbourne Victoria
Urban Choices Property Limited;Level 3, 350 Queen Street   Melbourne VIC
Brown Ann Bequest;209 Flinders Lane   Melbourne VIC
Alexandra Rsl Sub-Branch Welfare Patriotic Fund No W51;ANZAC House 4 Collins Street   MELBOURNE VIC
Rsl (Victoria) House Building Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Mt Atkinson Community Foundation;L 12 468 St Kilda Rd   Melbourne Victoria
Jubilee Sailing Trust Australia Foundation;L 28 367 Collins St   Melbourne Victoria
Wetherall Family Foundation;L 15 459 Collins St   Melbourne Victoria
LITTLE SPARKLERS LTD;SUITE 877 585 LITTLE COLLINS STREET  Melbourne VIC
EBRB 2 (ASSEMBLE X HCA) LTD;L 3 350 Queen St   Melbourne Victoria
Adopt A Degree;31 Queen St   Melbourne Victoria
The Trustee For Alfred Hospital Whole Time Medical Specialists Private Practice Trust;55 Commercial Rd   Melbourne Victoria
Melbourne Community Television Consortium Ltd;L 11 277 William St   Melbourne VIC
Flinders RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Portarlington & St. Leonards RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Justice Connect;L 17 461 Bourke St   Melbourne Victoria
Sustain: The Australian Food Network;555 La Trobe St   Melbourne Victoria
The Trustee For Pioneer Electronics Choral Music Fund;209 Flinders Lane   Melbourne VIC
EMERALD RSL SUB-BRANCH  PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Korean Language School Of Melbourne Inc;Se 411 566 St Kilda Rd   Melbourne Victoria
Black Arm Band Aboriginal Corporation;Level 2, Mitchell House 358 Lonsdale Street  MELBOURNE VIC
DRYSDALE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Caroline Springs RSL Sub-Branch Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
The William Angliss (Queensland) Charitable Fund;Suite 209 156 Collins St  Melbourne VIC
UPWEY BELGRAVE RSL SUB-BRANCH PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
The Barristers' Benevolent Association Of Victoria;Level 5, 205 William Street   Melbourne VIC
Partners For Equity Limited;L 2 696 Bourke St   Melbourne Victoria
Wesley College Melbourne Limited;Wesley College   Melbourne Victoria
The Trustee For The Jan Pentland Foundation;L 6 179 Queen St   Melbourne Victoria
Loch Sport RSL Sub-Branch Welfare Patriotic Fund W3289;ANZAC House 4 Collins Street   MELBOURNE VIC
Briagolong RSL Sub-Branch Welfare Patriotic Fund;ANZAC House 4 Collins Street   MELBOURNE VIC
Pakenham RSL Sub-Branch Welfare Patriotic Fund;ANZAC HOUSE 4 Collins St  Melbourne VIC
THE RETURNED AND SERVICES LEAGUE OF AUSTRALIA VICTORIAN BRANCH - HEYWOOD WELFARE PATRIOTIC FUND;ANZAC House 4 Collins Street   MELBOURNE VIC
Royal Melbourne Philharmonic Society Inc;239 A'beckett St   Melbourne Victoria
The Trustee For The Athenaeum Club Young Artists Trust;87 Collins St   Melbourne Victoria
Emmanuel Baptist Church;524-530 Elizabeth St   Melbourne Victoria
Victorian Opera Company Ltd;G 31 Victoria St   Melbourne Victoria
Interior DesignInterior Architecture Educators Association;124 La Trobe St   Melbourne Victoria
French Assist Melbourne Inc;342 St Kilda Rd   Melbourne Victoria
Women With Disabilities Victoria Incorporated;L 9 255 Bourke St   Melbourne Victoria
Good Cycles Limited;TG 23 Goldsbrough Lane  Melbourne VIC
Elizabeth and Alexander Reddan Memorial Foundation;L 29 140 William St   Melbourne Victoria
Fairfield St Paul's;209 Flinders Lane   Melbourne VIC
The Union Education Foundation;L 4 365 Queen St   Melbourne Victoria
Assisi Aid Projects Inc;Ross House 247-251 Flinders Lane  Melbourne VIC
BATTERY STEWARDSHIP COUNCIL LTD;L 27 101 Collins St   Melbourne Victoria
