Cenário_da_violação;Frequência;Início_das_violações;Grupo_vulnerável;Relação_vítima_suspeito;Sexo_da_vítima;Faixa_etária_da_vítima;Deficiência_da_vítima;Município_da_vítima;Raça_Cor_da_vítima;Sexo_do_suspeito;Faixa_etária_do_suspeito;Raça_Cor_do_suspeito;violacao
CASA DA VÍTIMA;DIARIAMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;60 A 64 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;50 A 54 ANOS;BRANCA;INTEGRIDADE>NEGLIGÊNCIA
CASA DA VÍTIMA;DIARIAMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;60 A 64 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;60 A 64 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;50 A 54 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;60 A 64 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PATRIMONIAL>INDIVIDUAL
CASA DA VÍTIMA;DIARIAMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;60 A 64 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;VIZINHO(A);FEMININO;65 A 69 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>INJÚRIA
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;VIZINHO(A);FEMININO;65 A 69 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;65 A 69 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;65 A 69 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;INTEGRIDADE>NEGLIGÊNCIA
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;VIZINHO(A);FEMININO;65 A 69 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;VIZINHO(A);FEMININO;65 A 69 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;VIZINHO(A);FEMININO;65 A 69 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>AMEAÇA ou COAÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;65 A 69 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;65 A 69 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;VIZINHO(A);FEMININO;65 A 69 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;INTEGRIDADE>NEGLIGÊNCIA
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;65 A 69 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;LIBERDADE>DIREITOS INDIVIDUAIS>AUTONOMIA DE VONTADE
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;VIZINHO(A);FEMININO;65 A 69 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;LIBERDADE>DIREITOS INDIVIDUAIS>AUTONOMIA DE VONTADE
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;65 A 69 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>INJÚRIA
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;65 A 69 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>AMEAÇA ou COAÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;VIZINHO(A);FEMININO;65 A 69 ANOS;FÍSICA/MOTORA;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
CASA DA VÍTIMA;DIARIAMENTE;HÁ UMA SEMANA;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;65 A 69 ANOS;FÍSICA/MOTORA;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;20 A 24 ANOS;BRANCA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;FILHO(A);MASCULINO;50 A 54 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;30 A 34 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;FILHO(A);MASCULINO;50 A 54 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;30 A 34 ANOS;BRANCA;INTEGRIDADE>PATRIMONIAL>INDIVIDUAL
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;FILHO(A);MASCULINO;50 A 54 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;30 A 34 ANOS;BRANCA;INTEGRIDADE>PATRIMONIAL>INDIVIDUAL
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;FILHO(A);MASCULINO;50 A 54 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;30 A 34 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;FILHO(A);MASCULINO;50 A 54 ANOS;MENTAL/INTELECTUAL;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;30 A 34 ANOS;BRANCA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;FILHO(A);MASCULINO;50 A 54 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;30 A 34 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>INSUBSISTÊNCIA AFETIVA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;FILHO(A);MASCULINO;50 A 54 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;30 A 34 ANOS;BRANCA;INTEGRIDADE>FÍSICA>MAUS TRATOS
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;FILHO(A);MASCULINO;50 A 54 ANOS;MENTAL/INTELECTUAL;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;30 A 34 ANOS;BRANCA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;FILHO(A);MASCULINO;50 A 54 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;30 A 34 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>INSUBSISTÊNCIA AFETIVA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA;FILHO(A);MASCULINO;50 A 54 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;30 A 34 ANOS;BRANCA;INTEGRIDADE>FÍSICA>MAUS TRATOS
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>NEGLIGÊNCIA
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>NEGLIGÊNCIA
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;60 A 64 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;60 A 64 ANOS;PARDA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;60 A 64 ANOS;PARDA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;60 A 64 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;60 A 64 ANOS;PARDA;INTEGRIDADE>NEGLIGÊNCIA
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;60 A 64 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;45 A 49 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;60 A 64 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
ESTABELECIMENTO DE SAÚDE;SEMANALMENTE;HÁ UM MÊS;VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+;PROFISSIONAL DE SAÚDE;MASCULINO;35 A 39 ANOS;NÃO;3304524 | RIO DAS OSTRAS;BRANCA;MASCULINO;60 A 64 ANOS;PARDA;INTEGRIDADE>NEGLIGÊNCIA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;VIZINHO(A);MASCULINO;55 A 59 ANOS;NÃO;3301702 | DUQUE DE CAXIAS;BRANCA;MASCULINO;60 A 64 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;VIZINHO(A);MASCULINO;55 A 59 ANOS;NÃO;3301702 | DUQUE DE CAXIAS;BRANCA;MASCULINO;60 A 64 ANOS;PARDA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;VIZINHO(A);MASCULINO;55 A 59 ANOS;NÃO;3301702 | DUQUE DE CAXIAS;BRANCA;MASCULINO;60 A 64 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE;VIZINHO(A);MASCULINO;55 A 59 ANOS;NÃO;3301702 | DUQUE DE CAXIAS;BRANCA;MASCULINO;60 A 64 ANOS;PARDA;INTEGRIDADE>FÍSICA>MAUS TRATOS
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;75 A 79 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;13 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;75 A 79 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;13 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>INJÚRIA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;75 A 79 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;13 ANOS;BRANCA;INTEGRIDADE>PATRIMONIAL>INDIVIDUAL
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE SEIS MESES;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;75 A 79 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;13 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>NEGLIGÊNCIA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>AMEAÇA ou COAÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>EXPOSIÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>AMEAÇA ou COAÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>CONSTRANGIMENTO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE DEZ ANOS;VIOLÊNCIA CONTRA PESSOA IDOSA;FILHO(A);FEMININO;70 A 74 ANOS;NÃO;3304557 | RIO DE JANEIRO;BRANCA;MASCULINO;40 A 44 ANOS;BRANCA;INTEGRIDADE>NEGLIGÊNCIA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;MASCULINO;12 ANOS;PARDA;INTEGRIDADE>PATRIMONIAL>INDIVIDUAL
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;MASCULINO;45 A 49 ANOS;BRANCA;INTEGRIDADE>PATRIMONIAL>INDIVIDUAL
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;MASCULINO;12 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;MASCULINO;12 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>DIFAMAÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;MASCULINO;45 A 49 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>DIFAMAÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;MASCULINO;45 A 49 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>AMEAÇA ou COAÇÃO
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;MASCULINO;14 ANOS;PARDA;INTEGRIDADE>PATRIMONIAL>INDIVIDUAL
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;MASCULINO;12 ANOS;PARDA;INTEGRIDADE>FÍSICA>EXPOSIÇÃO DE RISCO À SAÚDE
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;MASCULINO;45 A 49 ANOS;BRANCA;INTEGRIDADE>PSÍQUICA>TORTURA PSÍQUICA
CASA DA VÍTIMA;DIARIAMENTE;HÁ MAIS DE UM ANO;VIOLÊNCIA CONTRA PESSOA IDOSA;VIZINHO(A);FEMININO;75 A 79 ANOS;NÃO;3303500 | NOVA IGUAÇU;BRANCA;MASCULINO;12 ANOS;PARDA;INTEGRIDADE>PSÍQUICA>AMEAÇA ou COAÇÃO
