PsychTest1,PsychTest2,YrsEdu,IQ,HrsTrn,HrsWrk,ClientSat,SuperSat,ProjCompl
52,51,2,94,4,16,48,24,19
58,76,3,94,4,26,50,48,28
40,56,3,96,7,51,43,54,46
45,44,5,102,6,65,57,62,69
66,82,0,92,9,48,97,69,41
44,58,4,104,6,44,45,59,50
62,72,3,95,7,46,79,62,45
59,56,1,100,8,68,75,71,65
46,51,4,102,4,24,40,43,34
59,75,1,95,5,35,55,59,40
50,55,0,99,11,67,63,65,58
43,54,5,98,4,24,54,34,30
47,57,3,94,6,49,49,53,45
40,33,1,98,12,95,61,77,84
47,59,4,103,2,7,55,31,11
45,64,2,101,7,39,51,57,36
51,47,0,91,6,67,61,57,67
46,58,0,97,5,33,43,50,32
52,71,2,102,1,12,48,41,17
37,28,2,99,6,71,31,55,66
50,45,0,94,3,48,35,42,43
58,55,2,99,10,100,71,87,96
52,32,0,97,3,7,40,15,11
63,54,0,92,5,41,74,49,46
27,41,1,91,4,45,0,44,44
56,55,2,96,10,95,57,79,81
55,66,3,100,8,42,70,54,45
48,59,1,93,5,61,37,61,63
56,73,1,95,9,77,62,84,62
35,40,1,97,3,15,24,28,21
40,49,1,91,7,58,47,53,56
59,40,3,99,5,39,68,42,38
41,33,4,100,8,52,38,42,58
41,38,0,97,5,16,32,22,20
44,30,4,95,7,74,56,51,72
58,49,1,97,3,18,67,36,27
44,26,2,96,5,35,40,27,37
61,50,2,93,6,61,66,60,55
56,52,3,101,11,100,70,87,89
55,47,5,104,6,35,68,46,35
38,26,0,90,7,40,22,25,30
66,46,4,97,8,48,84,49,50
50,48,1,101,10,76,58,72,67
59,61,4,97,5,56,89,59,60
63,82,5,105,6,39,79,73,37
37,52,5,97,4,27,38,38,29
45,36,4,96,5,42,44,36,43
33,50,3,93,5,21,24,35,26
63,56,0,98,8,88,77,76,79
51,40,3,94,7,32,61,34,30
62,65,4,96,5,32,91,46,43
69,52,0,93,9,48,79,51,44
56,38,3,103,13,100,65,79,96
40,58,1,95,4,32,35,44,28
54,47,5,96,8,58,65,55,58
52,33,5,104,4,50,70,48,50
31,29,1,97,11,100,13,66,91
56,61,2,93,5,43,72,51,37
42,39,5,99,8,58,52,55,52
53,56,3,100,6,59,71,59,57
46,27,1,93,6,52,42,37,48
60,53,3,96,8,46,69,50,52
49,56,5,96,6,68,59,66,64
70,83,2,92,5,33,91,55,32
69,78,4,101,4,21,91,55,31
45,41,5,102,5,38,50,41,40
41,33,1,93,6,54,40,39,49
40,25,0,94,10,87,43,60,76
54,54,5,102,4,53,70,58,51
48,35,0,94,9,73,41,51,59
55,71,0,97,7,79,66,83,70
66,71,5,101,6,61,90,66,64
46,43,0,94,6,43,58,32,48
54,55,2,92,5,64,63,62,65
52,35,2,96,4,22,54,25,29
39,22,5,96,4,9,46,10,18
45,42,4,95,8,88,50,67,76
39,58,3,99,8,41,55,57,37
48,59,5,99,8,54,53,63,51
60,50,1,93,4,22,62,33,28
50,53,2,93,7,33,61,39,42
58,38,0,100,8,48,73,45,47
57,59,2,95,3,5,63,31,15
29,24,4,100,5,35,11,28,43
49,62,1,94,10,92,51,82,82
52,50,3,101,6,49,48,53,49
64,83,5,95,4,43,61,65,47
43,54,4,104,7,52,49,57,51
52,38,1,101,8,48,34,46,46
54,55,1,99,3,11,72,31,17
58,62,3,96,8,64,65,67,66
24,32,3,101,2,34,14,31,43
57,47,1,97,4,43,66,49,47
54,38,2,96,6,33,59,34,32
47,37,0,96,3,12,56,24,23
47,54,0,97,10,95,50,80,90
37,22,3,101,8,70,30,54,71
64,50,5,97,5,48,81,47,55
50,39,0,93,4,14,47,19,16
59,45,4,101,8,62,81,56,61
51,65,1,98,6,53,53,67,49
45,45,2,99,4,49,25,49,51
32,41,5,102,3,41,18,45,44
54,50,4,100,8,65,57,60,65
52,45,5,103,6,34,59,45,42
62,63,2,98,3,27,56,46,27
50,69,2,94,6,57,43,62,50
70,86,0,99,7,40,84,71,41
54,64,3,94,13,100,74,81,90
31,29,2,96,10,72,31,53,65
49,65,4,95,4,11,51,39,22
41,58,3,101,5,28,39,43,34
24,22,0,96,11,100,24,65,84
57,45,5,98,6,46,63,44,44
60,67,3,96,4,47,57,56,51
25,44,3,93,3,12,19,26,20
36,46,0,90,7,73,36,62,74
38,30,2,96,4,55,38,42,47
31,47,4,103,14,100,45,87,90
52,47,3,100,10,95,67,86,92
46,36,0,91,1,0,31,7,0
61,78,0,98,10,63,74,80,58
62,69,1,94,5,42,63,54,48
74,60,5,105,4,25,99,46,38
55,42,3,102,6,31,60,33,38
49,64,1,92,7,75,69,67,66
44,45,5,98,8,88,42,72,85
55,38,5,105,5,33,54,44,37
45,49,2,102,8,64,47,62,62
61,52,3,93,7,63,82,56,67
68,55,1,100,2,20,79,41,29
53,37,3,95,2,4,58,12,10
59,44,1,98,10,91,69,76,84
43,45,5,104,7,60,53,57,54
48,29,2,96,8,80,58,55,72
50,34,2,100,13,100,61,73,94
39,36,1,97,8,44,34,35,42
68,85,5,96,4,13,86,56,24
71,90,5,96,3,45,88,71,51
51,43,0,96,12,73,56,61,74
57,58,4,103,6,61,57,67,62
54,65,5,98,3,33,49,52,36
52,40,1,94,6,47,57,41,46
46,50,1,97,7,37,47,48,34
53,33,4,94,4,38,71,33,40
42,54,5,103,7,44,58,49,47
41,37,5,101,5,42,35,40,37
59,51,1,91,4,20,48,31,29
65,60,5,104,4,46,79,57,43
60,54,3,102,10,79,82,76,75
52,62,4,100,6,29,65,40,24
48,34,4,97,4,17,58,25,27
66,74,4,101,5,52,90,72,53
59,47,4,102,3,48,61,54,56
56,70,5,95,6,60,72,70,62
46,64,5,105,4,47,48,64,46
27,45,1,91,6,52,5,47,56
37,34,0,100,6,47,31,42,45
43,24,5,105,8,74,54,54,73
65,63,5,97,7,69,84,72,67
42,46,3,94,8,78,53,64,73
58,77,1,91,8,40,59,57,37
53,53,0,98,3,8,48,29,19
53,71,3,94,7,49,59,61,54
46,61,5,97,6,46,41,52,49
56,55,0,97,4,9,67,33,11
37,27,5,102,5,24,52,26,32
63,43,3,96,14,100,98,79,83
43,39,1,101,8,84,44,68,79
44,62,4,101,8,63,48,70,63
48,52,0,91,9,62,50,53,61
35,43,2,101,7,60,30,52,64
26,39,0,90,5,26,23,29,29
53,52,2,98,4,48,62,55,47
57,46,2,92,6,41,69,35,46
68,82,5,103,4,12,76,51,23
47,34,5,99,8,75,70,59,74
39,54,3,100,7,44,37,49,41
46,51,1,99,7,72,53,66,65
43,36,0,97,13,100,50,73,86
43,49,0,93,4,24,47,25,19
58,49,5,104,3,2,62,31,12
71,51,0,91,5,54,88,50,54
52,55,4,101,6,72,57,71,72
49,41,5,98,6,49,57,45,49
45,48,3,101,9,83,41,76,83
45,30,3,96,13,98,55,72,89
63,73,1,92,9,93,74,93,93
33,43,4,103,7,65,33,58,64
47,63,0,100,9,57,55,72,54
57,37,5,103,6,24,75,32,27
71,56,0,97,8,77,81,72,70
49,49,1,100,3,2,51,23,9
45,33,2,96,2,24,40,25,25
49,37,4,104,9,64,44,54,69
43,35,0,97,8,82,41,66,77
59,65,2,93,2,0,49,24,3
61,61,5,101,6,61,95,62,60
49,30,3,103,3,20,66,22,23
43,26,5,101,9,63,45,46,66
70,59,4,96,2,11,80,34,15
64,74,1,101,3,22,76,53,33
42,29,4,102,9,59,44,45,57
53,58,0,98,6,68,60,70,65
33,13,2,102,9,67,36,44,66
51,56,3,102,7,49,53,53,48
69,76,5,103,6,31,95,60,36
55,63,2,96,6,27,69,37,24
53,42,5,104,12,100,68,89,93
58,64,2,98,7,34,55,51,33
62,64,3,97,5,62,71,66,60
59,68,4,98,5,57,70,66,55
54,35,2,98,11,92,74,69,77
53,44,1,98,8,70,61,58,60
57,51,2,95,6,60,53,59,53
58,71,1,100,1,0,49,33,12
54,38,0,94,3,32,66,30,42
56,44,5,99,6,69,77,61,68
45,62,4,102,5,23,42,48,28
53,50,2,98,0,0,51,17,2
56,57,0,97,5,38,48,48,35
40,44,2,93,6,72,50,58,70
58,73,0,91,4,27,50,44,29
34,50,4,98,9,90,55,71,83
55,38,5,103,9,56,70,56,60
53,43,5,99,7,44,68,47,49
41,49,3,94,3,36,39,41,38
52,54,2,102,8,70,58,69,64
38,18,0,100,14,100,44,65,96
